
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,0,0,10,1,1,1,

FE2,FE3,BR,
1,2.32294e+06,1.899e+06,
0,2.3121e+06,1.89056e+06,
4,2.21804e+06,1.81646e+06,
0,2.02577e+06,1.65977e+06,
0,1.73614e+06,1.42019e+06,
0,1.4353e+06,1.16309e+06,

6,2.45266e+06,1.99271e+06,
3,2.8861e+06,2.35678e+06,
1,3.30526e+06,2.70479e+06,
0,3.59565e+06,2.94236e+06,
1,3.72064e+06,3.04319e+06,
7,3.70409e+06,3.02892e+06,
0,3.55047e+06,2.90597e+06,
1,3.24522e+06,2.6567e+06,
7,2.79167e+06,2.28171e+06,
0,2.32813e+06,1.88709e+06,

1,3.97004e+06,3.22394e+06,
6,4.64093e+06,3.78616e+06,
3,5.29544e+06,4.33236e+06,
0,5.75718e+06,4.71119e+06,
0,5.96114e+06,4.87613e+06,
0,5.93437e+06,4.85299e+06,
0,5.68335e+06,4.65189e+06,
6,5.19289e+06,4.252e+06,
0,4.49019e+06,3.66643e+06,
4,3.77823e+06,3.06269e+06,

4,6.42213e+06,5.21813e+06,
1,7.46303e+06,6.08772e+06,
4,8.48613e+06,6.94196e+06,
0,9.21687e+06,7.54367e+06,
0,9.55301e+06,7.8134e+06,
0,9.50633e+06,7.77785e+06,
4,9.10302e+06,7.45016e+06,
0,8.31946e+06,6.80967e+06,
0,7.22109e+06,5.89217e+06,
0,6.12687e+06,4.968e+06,

3,1.039e+07,8.44287e+06,
0,1.20025e+07,9.7908e+06,
0,1.3604e+07,1.11255e+07,
1,1.47581e+07,1.2076e+07,
0,1.5302e+07,1.25157e+07,
0,1.5226e+07,1.24554e+07,
0,1.45795e+07,1.19284e+07,
4,1.33252e+07,1.09053e+07,
0,1.16139e+07,9.47612e+06,
4,9.9312e+06,8.05564e+06,

0,1.68022e+07,1.36546e+07,
0,1.93071e+07,1.57519e+07,
6,2.18073e+07,1.78305e+07,
0,2.36298e+07,1.93353e+07,
0,2.45071e+07,2.0047e+07,
5,2.43943e+07,1.99535e+07,
4,2.33472e+07,1.91023e+07,
1,2.13541e+07,1.74722e+07,
0,1.869e+07,1.52496e+07,
0,1.60908e+07,1.30534e+07,

0,2.71656e+07,2.20769e+07,
0,3.10569e+07,2.53365e+07,
2,3.49615e+07,2.85839e+07,
5,3.78505e+07,3.09705e+07,
2,3.9249e+07,3.21056e+07,
0,3.90768e+07,3.19654e+07,
4,3.7396e+07,3.0592e+07,
0,3.42415e+07,2.80073e+07,
1,3.00743e+07,2.45342e+07,
0,2.60647e+07,2.11507e+07,

3,4.3911e+07,3.56914e+07,
0,4.996e+07,4.07561e+07,
2,5.60666e+07,4.58393e+07,
3,6.06329e+07,4.96051e+07,
0,6.28659e+07,5.14299e+07,
0,6.26e+07,5.12088e+07,
2,5.99001e+07,4.90055e+07,
1,5.4903e+07,4.49024e+07,
1,4.84064e+07,3.94839e+07,
2,4.22035e+07,3.42549e+07,

0,7.09692e+07,5.77015e+07,
3,8.03832e+07,6.55683e+07,
0,8.99303e+07,7.35169e+07,
0,9.71364e+07,7.94678e+07,
7,1.007e+08,8.23877e+07,
9,1.00276e+08,8.20222e+07,
7,9.59606e+07,7.85048e+07,
2,8.80608e+07,7.20054e+07,
0,7.79242e+07,6.35595e+07,
1,6.83186e+07,5.54634e+07,

# Showing cells 0-10 until 19.7002 min
